bookID,author_id
1,1
1,2
2,1
2,2
4,1
5,1
5,2
8,1
8,2
9,3
10,1
12,4
13,4
14,4
16,4
16,5
18,4
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,7
31,7
34,7
35,7
35,8
36,9
36,10
36,11
37,12
45,13
45,14
45,15
45,16
45,17
45,18
50,19
51,20
51,21
51,22
53,19
54,23
55,24
57,25
57,26
57,27
57,28
57,29
57,30
57,31
57,32
57,33
58,34
59,35
61,36
63,37
66,38
67,39
68,39
68,40
69,39
71,41
72,42
74,43
74,44
75,43
76,43
77,43
78,43
79,43
80,43
81,43
83,43
85,45
86,45
89,46
90,47
91,48
91,49
92,46
93,50
93,51
93,52
94,46
96,49
96,48
98,53
98,54
98,55
98,56
98,57
99,58
99,59
100,47
103,60
105,60
106,60
107,61
109,60
110,60
110,61
110,62
117,60
119,63
122,64
123,64
129,65
129,66
129,67
130,68
131,69
132,70
133,71
135,72
135,73
137,71
138,74
139,71
140,71
141,75
141,76
142,77
144,77
147,78
151,79
151,80
151,81
152,79
152,82
152,83
153,79
153,80
153,81
153,84
154,85
154,79
155,79
155,86
155,87
156,79
156,88
156,89
157,79
157,87
157,86
159,90
160,91
162,92
162,93
163,94
164,95
164,96
165,97
166,98
166,99
168,100
168,101
168,102
171,103
177,104
177,105
177,106
180,107
180,108
181,109
182,110
201,109
204,111
205,112
207,113
207,114
207,115
208,116
213,117
213,118
214,117
214,119
216,117
216,120
230,117
231,121
237,122
237,123
237,124
244,125
245,126
245,127
247,126
249,126
249,128
250,126
251,126
252,126
253,126
264,129
264,130
269,129
269,131
269,132
277,133
278,133
278,134
280,133
280,135
285,136
285,137
285,138
288,139
288,140
288,136
289,136
289,141
289,142
290,136
290,140
291,136
291,140
291,143
292,136
292,140
295,144
296,144
296,145
297,144
298,144
298,146
298,147
299,144
299,148
302,149
302,150
302,144
313,151
324,152
330,153
332,154
333,155
337,156
348,157
350,157
354,157
355,157
356,157
357,4
359,4
362,158
367,159
377,4
377,160
382,161
382,162
385,163
386,164
394,165
397,166
397,167
399,168
400,168
403,168
404,168
406,168
407,168
408,168
409,169
410,169
411,169
412,169
413,169
413,170
413,171
414,169
415,169
416,169
418,172
418,169
420,173
421,173
422,173
423,173
424,173
425,173
426,173
426,174
428,173
428,175
431,176
431,177
431,178
432,176
434,176
435,176
444,179
444,180
444,181
446,176
447,176
453,176
454,176
456,176
463,176
466,176
475,182
476,183
476,184
477,185
478,186
481,187
484,188
484,189
484,190
484,191
484,192
493,193
494,194
494,195
497,196
498,193
498,197
511,198
511,199
511,200
515,13
515,201
515,202
523,203
523,204
523,205
524,205
531,206
534,207
534,208
537,209
538,209
539,210
565,211
565,212
570,213
576,214
576,215
576,216
597,217
599,217
619,218
629,219
639,220
639,221
639,222
642,223
642,224
643,225
650,226
650,227
655,79
655,228
656,79
656,229
656,89
656,88
658,79
658,87
662,230
662,231
663,230
664,230
665,230
665,232
667,230
668,230
668,231
669,230
669,232
669,233
669,234
670,230
670,235
670,231
672,236
672,237
675,238
676,239
678,240
681,241
685,242
685,243
698,244
700,245
700,246
702,247
702,248
703,249
707,250
759,152
759,251
759,252
762,152
763,152
764,152
765,152
765,253
766,152
771,254
775,255
775,256
787,257
787,258
787,259
793,260
793,261
793,262
797,260
797,261
797,263
799,260
799,264
815,265
816,266
821,266
822,266
823,266
824,266
824,267
826,266
827,266
827,268
828,266
828,269
828,270
829,266
830,266
830,271
834,272
834,273
835,272
835,273
840,274
841,274
842,274
848,275
848,276
848,277
864,278
864,279
864,280
865,278
865,279
865,281
866,282
866,283
868,282
868,283
869,282
869,283
870,282
870,283
871,282
871,283
872,278
872,279
872,284
873,282
873,283
880,285
888,286
888,287
890,288
900,289
902,290
903,36
929,291
930,291
931,291
932,292
932,293
932,294
932,291
933,291
935,295
935,296
941,297
941,298
944,299
944,300
955,301
960,302
965,302
966,302
966,303
968,302
969,302
972,302
972,304
975,302
977,302
980,302
987,305
998,306
998,307
1005,308
1007,308
1014,309
1022,310
1032,311
1032,312
1052,313
1053,313
1059,314
1059,315
1067,316
1068,317
1068,318
1073,319
1078,320
1090,321
1097,322
1099,322
1103,323
1110,324
1111,325
1117,326
1120,327
1120,328
1121,329
1121,330
1123,327
1130,331
1130,332
1130,333
1138,334
1138,335
1164,336
1164,337
1167,338
1167,339
1169,340
1171,341
1177,342
1188,343
1188,344
1188,345
1191,346
1191,347
1192,346
1193,346
1193,347
1196,348
1196,349
1197,348
1197,350
1197,351
1197,352
1198,348
1198,349
1202,353
1202,354
1204,353
1204,354
1206,353
1206,354
1218,355
1226,356
1230,356
1230,357
1230,358
1234,359
1241,360
1242,361
1243,362
1243,363
1246,364
1246,365
1252,366
1255,367
1265,368
1274,369
1276,369
1281,369
1290,370
1290,371
1295,372
1296,372
1301,341
1302,373
1303,374
1303,375
1305,376
1307,377
1307,378
1312,379
1315,376
1317,376
1318,376
1319,376
1319,380
1320,381
1320,376
1322,382
1322,376
1326,383
1326,384
1327,383
1327,142
1328,383
1328,385
1334,383
1334,386
1337,387
1337,388
1337,389
1338,383
1338,390
1342,383
1342,391
1351,383
1351,385
1354,383
1354,384
1354,392
1362,393
1362,394
1362,395
1363,393
1363,394
1363,395
1364,393
1364,396
1365,393
1365,397
1365,142
1366,393
1366,394
1366,398
1367,393
1367,399
1367,400
1368,393
1368,401
1368,402
1368,403
1369,393
1369,404
1371,405
1371,406
1371,407
1373,405
1373,408
1373,409
1374,405
1374,410
1374,411
1375,405
1375,406
1375,407
1376,405
1376,412
1376,413
1376,414
1377,405
1377,415
1378,405
1378,409
1378,408
1381,405
1381,406
1381,407
1382,405
1382,410
1382,416
1383,405
1383,417
1384,405
1384,412
1384,413
1384,414
1387,405
1387,415
1391,418
1391,419
1402,418
1402,420
1402,421
1403,422
1405,418
1405,423
1408,424
1417,425
1417,426
1417,427
1419,425
1420,425
1420,428
1420,429
1423,430
1423,431
1423,432
1423,433
1424,278
1424,279
1425,278
1425,279
1426,278
1427,278
1427,434
1428,278
1428,279
1429,278
1429,435
1431,278
1431,434
1431,436
1433,425
1433,426
1433,427
1437,437
1438,425
1438,438
1439,439
1439,440
1440,441
1440,442
1441,441
1441,443
1444,441
1444,442
1445,441
1445,444
1449,441
1449,399
1449,400
1459,441
1459,442
1461,445
1462,446
1462,417
1462,447
1462,448
1462,449
1463,446
1463,447
1463,417
1463,450
1463,451
1463,452
1465,446
1465,447
1465,417
1465,452
1465,453
1465,454
1466,455
1466,446
1467,446
1467,456
1467,457
1468,446
1468,447
1468,417
1468,452
1468,458
1468,459
1470,446
1470,447
1470,417
1470,460
1470,452
1473,446
1473,461
1473,462
1474,446
1474,463
1475,446
1475,464
1476,446
1476,461
1476,462
1479,446
1479,465
1479,466
1480,446
1480,467
1480,468
1486,446
1488,469
1489,446
1489,470
1489,142
1491,446
1491,463
1494,446
1494,452
1495,446
1495,463
1499,446
1499,471
1499,472
1504,473
1506,474
1509,446
1509,463
1510,446
1510,463
1511,446
1511,475
1515,446
1515,447
1515,417
1516,476
1516,447
1516,417
1517,476
1517,447
1517,417
1517,477
1518,476
1518,478
1518,466
1519,476
1519,406
1519,479
1521,476
1521,480
1521,481
1523,476
1523,482
1525,476
1525,483
1526,476
1526,484
1526,485
1527,476
1527,417
1527,447
1529,486
1530,476
1530,487
1530,488
1531,476
1531,484
1531,485
1532,476
1532,489
1533,476
1533,489
1536,490
1536,447
1536,417
1536,491
1536,492
1537,490
1537,493
1538,490
1538,493
1540,490
1540,410
1540,494
1542,490
1542,406
1542,407
1546,490
1546,480
1546,443
1547,490
1547,447
1547,495
1548,490
1548,496
1549,490
1549,497
1549,498
1554,490
1554,499
1555,490
1555,493
1558,490
1558,500
1559,490
1559,407
1559,501
1560,502
1560,452
1560,417
1560,503
1561,502
1561,504
1562,502
1562,456
1563,502
1563,484
1566,502
1566,480
1567,502
1567,505
1568,502
1568,504
1571,502
1571,506
1572,502
1572,504
1576,502
1576,507
1577,502
1577,494
1579,502
1579,504
1584,508
1585,509
1586,502
1586,503
1590,502
1590,510
1591,502
1591,511
1592,502
1592,505
1592,507
1592,512
1595,513
1618,514
1620,515
1625,425
1627,516
1633,517
1634,518
1642,519
1643,519
1645,519
1645,520
1646,519
1654,519
1658,521
1658,522
1664,521
1664,522
1667,523
1681,524
1681,525
1681,526
1684,524
1684,527
1684,528
1685,524
1685,529
1685,525
1686,530
1693,524
1693,531
1698,524
1698,530
1698,532
1702,165
1703,533
1707,524
1707,534
1707,535
1709,536
1710,536
1713,537
1713,538
1715,537
1715,539
1715,540
1718,537
1718,407
1718,541
1720,537
1720,542
1721,537
1721,542
1722,543
1722,544
1725,537
1725,545
1725,421
1728,537
1728,546
1729,537
1729,547
1730,537
1730,547
1731,543
1731,548
1744,549
1750,495
1752,490
1752,465
1752,495
1761,490
1761,465
1761,495
1771,550
1771,551
1796,405
1796,410
1800,486
1801,486
1804,486
1805,486
1814,552
1815,552
1815,553
1823,554
1824,554
1839,182
1843,555
1845,556
1846,557
1848,558
1849,559
1850,560
1852,561
1852,562
1853,563
1853,564
1856,565
1869,566
1877,567
1877,568
1879,567
1879,568
1883,567
1883,568
1887,569
1887,570
1887,571
1888,572
1889,572
1889,573
1891,572
1891,574
1891,575
1893,572
1893,576
1894,556
1896,577
1896,556
1898,556
1902,578
1902,556
1902,577
1902,579
1902,580
1911,581
1914,581
1925,582
1925,583
1931,584
1934,585
1935,585
1935,145
1936,585
1936,586
1937,585
1937,587
1937,588
1946,585
1946,589
1947,585
1955,590
1955,591
1955,501
1957,590
1957,592
1958,593
1959,590
1959,592
1960,590
1960,594
1972,595
1976,596
1982,590
1984,590
1984,597
1984,598
1985,590
1985,599
1987,600
1988,601
1990,590
1990,602
1990,598
1991,182
1993,182
1999,603
2002,1
2004,604
2005,1
2010,60
2011,60
2015,60
2019,605
2022,502
2022,606
2025,502
2025,504
2026,607
2028,502
2028,608
2034,502
2034,609
2034,610
2043,611
2045,612
2045,613
2046,612
2046,613
2048,612
2048,614
2049,612
2051,612
2052,612
2054,612
2056,615
2057,616
2058,617
2058,618
2058,619
2059,612
2067,620
2068,620
2071,620
2072,620
2074,620
2077,621
2077,620
2078,620
2081,622
2081,620
2093,623
2094,623
2094,624
2095,623
2096,623
2099,625
2099,623
2100,623
2100,626
2100,627
2100,628
2100,629
2100,630
2102,631
2103,623
2103,632
2104,633
2104,623
2107,634
2109,628
2112,230
2112,608
2112,635
2113,230
2113,231
2113,636
2122,230
2122,231
2123,637
2123,638
2126,639
2127,640
2127,641
2127,642
2136,643
2137,643
2140,644
2142,645
2144,646
2144,647
2144,648
2151,572
2151,575
2152,649
2153,572
2155,572
2155,650
2156,572
2156,651
2156,652
2156,653
2156,654
2156,655
2157,656
2157,657
2166,658
2166,659
2167,660
2167,661
2176,662
2178,663
2178,664
2179,663
2179,665
2182,663
2182,666
2182,667
2183,663
2183,668
2183,667
2186,669
2186,670
2187,671
2199,672
2203,316
2204,673
2204,674
2205,675
2205,676
2209,677
2211,674
2211,678
2218,679
2219,680
2222,681
2226,682
2227,682
2228,683
2228,684
2236,685
2249,686
2250,686
2253,686
2255,687
2257,687
2257,688
2257,689
2265,690
2265,691
2267,692
2267,693
2279,316
2281,694
2281,695
2282,694
2283,696
2285,696
2287,694
2289,694
2289,697
2296,698
2299,699
2299,700
2304,701
2305,702
2305,703
2306,702
2306,704
2307,702
2307,705
2309,702
2309,706
2314,702
2315,36
2315,707
2319,36
2322,4
2322,708
2326,4
2327,7
2327,709
2327,710
2329,7
2329,710
2330,711
2330,7
2331,7
2333,7
2333,712
2333,713
2336,64
2338,64
2343,64
2348,714
2348,715
2353,716
2353,717
2367,316
2368,316
2370,316
2371,316
2372,316
2373,718
2375,719
2378,718
2386,720
2386,721
2388,722
2388,723
2388,720
2389,720
2389,721
2390,720
2390,724
2400,725
2400,726
2404,727
2404,728
2404,720
2407,729
2409,727
2409,728
2409,720
2411,730
2412,731
2423,732
2430,732
2442,733
2443,734
2443,735
2445,736
2452,737
2452,506
2473,738
2473,739
2486,469
2486,740
2494,741
2494,742
2494,743
2494,744
2495,741
2495,501
2495,745
2499,746
2501,741
2501,747
2504,741
2504,748
2506,741
2506,749
2508,741
2508,124
2508,742
2519,750
2520,751
2521,752
2526,753
2526,754
2527,753
2527,754
2528,753
2528,434
2529,753
2529,755
2529,434
2530,753
2530,754
2531,753
2531,434
2535,753
2535,754
2536,753
2536,754
2538,753
2538,756
2539,753
2539,756
2541,753
2541,756
2542,753
2542,754
2543,753
2543,756
2545,136
2547,136
2547,140
2547,757
2549,136
2549,140
2549,758
2549,759
2551,760
2552,760
2552,761
2557,762
2557,763
2560,764
2560,765
2567,469
2581,517
2584,517
2584,766
2584,767
2586,768
2586,769
2595,770
2595,771
2612,644
2613,772
2613,644
2615,773
2615,774
2619,590
2619,775
2619,776
2626,590
2626,777
2646,778
2646,779
2646,780
2646,781
2654,782
2655,782
2655,783
2661,782
2673,784
2677,785
